decision_id,episode_id,scenario_id,step_index,timestamp,region_id,robot_region,battery_soc,distance,estimated_move_time,estimated_energy,switch_cost,scene_weight,reachable,counterfactual_risk_gain
scenario_1_kitchen_pm_spike_ep00_d060,scenario_1_kitchen_pm_spike_ep00,scenario_1_kitchen_pm_spike,60,2026-08-01T09:30:00,C,A,89.2000000000001,4.0,8.88888888888889,0.6577777777777778,1.0,1.0,1,425.16114431084327
scenario_1_kitchen_pm_spike_ep00_d060,scenario_1_kitchen_pm_spike_ep00,scenario_1_kitchen_pm_spike,60,2026-08-01T09:30:00,D,A,89.2000000000001,5.656854249492381,12.570787221094179,0.9302382543609693,1.0,1.0,1,75.85877139632544
scenario_1_kitchen_pm_spike_ep00_d063,scenario_1_kitchen_pm_spike_ep00,scenario_1_kitchen_pm_spike,63,2026-08-01T09:31:30,A,B,88.96000000000011,4.0,8.88888888888889,0.6577777777777778,1.0,1.0,1,83.16863436711424
scenario_1_kitchen_pm_spike_ep00_d063,scenario_1_kitchen_pm_spike_ep00,scenario_1_kitchen_pm_spike,63,2026-08-01T09:31:30,B,B,88.96000000000011,0.0,0.0,0.0,0.0,1.0,1,73.24990270191552
scenario_1_kitchen_pm_spike_ep00_d063,scenario_1_kitchen_pm_spike_ep00,scenario_1_kitchen_pm_spike,63,2026-08-01T09:31:30,C,B,88.96000000000011,5.656854249492381,12.570787221094179,0.9302382543609693,1.0,1.0,1,403.7834385542287
scenario_1_kitchen_pm_spike_ep00_d063,scenario_1_kitchen_pm_spike_ep00,scenario_1_kitchen_pm_spike,63,2026-08-01T09:31:30,D,B,88.96000000000011,4.0,8.88888888888889,0.6577777777777778,1.0,1.0,1,76.73207197728584
scenario_1_kitchen_pm_spike_ep00_d066,scenario_1_kitchen_pm_spike_ep00,scenario_1_kitchen_pm_spike,66,2026-08-01T09:33:00,A,D,88.72000000000011,5.656854249492381,12.570787221094179,0.9302382543609693,1.0,1.0,1,83.40992644176549
scenario_1_kitchen_pm_spike_ep00_d066,scenario_1_kitchen_pm_spike_ep00,scenario_1_kitchen_pm_spike,66,2026-08-01T09:33:00,B,D,88.72000000000011,4.0,8.88888888888889,0.6577777777777778,1.0,1.0,1,74.1199828124636
scenario_1_kitchen_pm_spike_ep00_d066,scenario_1_kitchen_pm_spike_ep00,scenario_1_kitchen_pm_spike,66,2026-08-01T09:33:00,C,D,88.72000000000011,4.0,8.88888888888889,0.6577777777777778,1.0,1.0,1,383.60459026717206
scenario_1_kitchen_pm_spike_ep00_d066,scenario_1_kitchen_pm_spike_ep00,scenario_1_kitchen_pm_spike,66,2026-08-01T09:33:00,D,D,88.72000000000011,0.0,0.0,0.0,0.0,1.0,1,77.38537546169732
scenario_1_kitchen_pm_spike_ep00_d069,scenario_1_kitchen_pm_spike_ep00,scenario_1_kitchen_pm_spike,69,2026-08-01T09:34:30,A,A,88.48000000000012,0.0,0.0,0.0,0.0,1.0,1,83.47642220653051
scenario_1_kitchen_pm_spike_ep00_d069,scenario_1_kitchen_pm_spike_ep00,scenario_1_kitchen_pm_spike,69,2026-08-01T09:34:30,B,A,88.48000000000012,4.0,8.88888888888889,0.6577777777777778,1.0,1.0,1,74.7753424758514
scenario_1_kitchen_pm_spike_ep00_d069,scenario_1_kitchen_pm_spike_ep00,scenario_1_kitchen_pm_spike,69,2026-08-01T09:34:30,C,A,88.48000000000012,4.0,8.88888888888889,0.6577777777777778,1.0,1.0,1,364.5528608947635
scenario_1_kitchen_pm_spike_ep00_d069,scenario_1_kitchen_pm_spike_ep00,scenario_1_kitchen_pm_spike,69,2026-08-01T09:34:30,D,A,88.48000000000012,5.656854249492381,12.570787221094179,0.9302382543609693,1.0,1.0,1,77.83749844122758
scenario_1_kitchen_pm_spike_ep00_d072,scenario_1_kitchen_pm_spike_ep00,scenario_1_kitchen_pm_spike,72,2026-08-01T09:36:00,A,C,88.24000000000012,4.0,8.88888888888889,0.6577777777777778,1.0,1.0,1,83.38390639943168
scenario_1_kitchen_pm_spike_ep00_d072,scenario_1_kitchen_pm_spike_ep00,scenario_1_kitchen_pm_spike,72,2026-08-01T09:36:00,B,C,88.24000000000012,5.656854249492381,12.570787221094179,0.9302382543609693,1.0,1.0,1,75.234304904272
scenario_1_kitchen_pm_spike_ep00_d072,scenario_1_kitchen_pm_spike_ep00,scenario_1_kitchen_pm_spike,72,2026-08-01T09:36:00,C,C,88.24000000000012,0.0,0.0,0.0,0.0,1.0,1,346.56095421385953
scenario_1_kitchen_pm_spike_ep00_d072,scenario_1_kitchen_pm_spike_ep00,scenario_1_kitchen_pm_spike,72,2026-08-01T09:36:00,D,C,88.24000000000012,4.0,8.88888888888889,0.6577777777777778,1.0,1.0,1,78.10591584118379
scenario_1_kitchen_pm_spike_ep00_d075,scenario_1_kitchen_pm_spike_ep00,scenario_1_kitchen_pm_spike,75,2026-08-01T09:37:30,A,D,88.00000000000013,5.656854249492381,12.570787221094179,0.9302382543609693,1.0,1.0,1,83.14702027103522
scenario_1_kitchen_pm_spike_ep00_d075,scenario_1_kitchen_pm_spike_ep00,scenario_1_kitchen_pm_spike,75,2026-08-01T09:37:30,B,D,88.00000000000013,4.0,8.88888888888889,0.6577777777777778,1.0,1.0,1,75.5138882207657
scenario_1_kitchen_pm_spike_ep00_d075,scenario_1_kitchen_pm_spike_ep00,scenario_1_kitchen_pm_spike,75,2026-08-01T09:37:30,C,D,88.00000000000013,4.0,8.88888888888889,0.6577777777777778,1.0,1.0,1,329.5657365108701
scenario_1_kitchen_pm_spike_ep00_d075,scenario_1_kitchen_pm_spike_ep00,scenario_1_kitchen_pm_spike,75,2026-08-01T09:37:30,D,D,88.00000000000013,0.0,0.0,0.0,0.0,1.0,1,78.20685079103305
scenario_1_kitchen_pm_spike_ep00_d078,scenario_1_kitchen_pm_spike_ep00,scenario_1_kitchen_pm_spike,78,2026-08-01T09:39:00,A,B,87.76000000000013,4.0,8.88888888888889,0.6577777777777778,1.0,1.0,1,82.7793386431199
scenario_1_kitchen_pm_spike_ep00_d078,scenario_1_kitchen_pm_spike_ep00,scenario_1_kitchen_pm_spike,78,2026-08-01T09:39:00,B,B,87.76000000000013,0.0,0.0,0.0,0.0,1.0,1,75.62989281681655
scenario_1_kitchen_pm_spike_ep00_d078,scenario_1_kitchen_pm_spike_ep00,scenario_1_kitchen_pm_spike,78,2026-08-01T09:39:00,C,B,87.76000000000013,5.656854249492381,12.570787221094179,0.9302382543609693,1.0,1.0,1,313.5079745336907
scenario_1_kitchen_pm_spike_ep00_d078,scenario_1_kitchen_pm_spike_ep00,scenario_1_kitchen_pm_spike,78,2026-08-01T09:39:00,D,B,87.76000000000013,4.0,8.88888888888889,0.6577777777777778,1.0,1.0,1,78.15535862545164
scenario_1_kitchen_pm_spike_ep00_d081,scenario_1_kitchen_pm_spike_ep00,scenario_1_kitchen_pm_spike,81,2026-08-01T09:40:30,A,C,87.52000000000014,4.0,8.88888888888889,0.6577777777777778,1.0,1.0,1,82.29344192218275
